symbol,weight
TLV,20.07
SNP,18.21
H2O,13.92
SNG,10.91
BRD,6.84
TGN,4.79
DIGI,4.11
EL,3.54
SNN,3.40
M,3.24
TEL,2.14
FP,1.35
ONE,1.23
AQ,1.08
ATB,1.04
PE,0.98
WINE,0.85
TRP,0.80
TTS,0.77
SFG,0.75
