symbol,weight
TLV,18.63
SNP,14.86
SNG,13.28
H2O,12.85
BRD,7.26
TGN,6.73
DIGI,5.32
EL,5.21
SNN,3.29
M,3.23
TEL,2.21
PE,1.57
FP,1.18
ONE,1.08
AQ,0.73
TTS,0.56
ATB,0.54
CFH,0.54
TRP,0.49
SFG,0.45
