symbol,weight
TLV,19.7
SNP,18.43
SNG,11.82
H2O,10.7
BRD,7.02
TGN,6.19
DIGI,4.56
EL,4.52
M,4.0
SNN,3.43
TEL,2.19
FP,1.35
ONE,1.27
PE,1.17
AQ,0.82
ATB,0.8
TTS,0.66
TRP,0.66
SFG,0.56
WINE,0.15
