symbol,weight
TLV,18.77
SNP,16.98
SNG,13.66
H2O,11.68
BRD,6.57
EL,6.12
TGN,5.8
DIGI,5.06
M,2.98
SNN,2.68
TEL,2.1
PE,1.55
FP,1.1
ONE,1.1
CFH,0.96
AQ,0.9
TTS,0.65
ATB,0.49
TRP,0.44
SFG,0.42
