symbol,weight
TLV,19.72
SNP,15.66
SNG,11.35
H2O,11.32
BRD,7.88
TGN,7.32
DIGI,4.97
EL,4.3
M,4.26
SNN,3.41
TEL,2.36
FP,1.42
PE,1.29
ONE,1.26
AQ,0.91
TRP,0.68
TTS,0.67
ATB,0.58
SFG,0.5
WINE,0.13
