symbol,weight
TLV,18.27
SNP,14.91
H2O,13.77
SNG,12.92
BRD,7.65
TGN,6.62
EL,5.18
DIGI,5.07
M,3.36
SNN,3.09
TEL,2.21
PE,1.47
FP,1.17
ONE,0.98
AQ,0.73
CFH,0.64
TTS,0.55
ATB,0.52
TRP,0.46
SFG,0.43
