symbol,weight
WINE,0.14
TTS,0.64
TRP,0.65
TLV,18.88
TGN,6.61
TEL,2.18
SNP,17.13
SNN,3.9
SNG,11.86
SFG,0.54
PE,1.17
ONE,1.36
M,4.43
H2O,10.94
FP,1.53
EL,4.68
DIGI,4.69
BRD,7.05
ATB,0.7
AQ,0.91
