symbol,weight
TLV,19.41
SNP,18.54
SNG,11.65
H2O,10.89
BRD,7.23
TGN,6.16
EL,4.54
DIGI,4.51
M,3.98
SNN,3.38
TEL,2.19
FP,1.35
ONE,1.32
PE,1.16
AQ,0.83
ATB,0.82
TTS,0.68
TRP,0.65
SFG,0.57
WINE,0.16
