symbol,weight
TLV,20.65
SNP,15.83
SNG,11.76
H2O,11.61
BRD,7.04
TGN,7.03
DIGI,4.89
EL,4.3
M,3.89
SNN,3.44
TEL,2.31
PE,1.32
FP,1.28
ONE,1.12
AQ,0.79
TRP,0.61
TTS,0.57
SFG,0.52
ATB,0.52
CFH,0.51
