symbol,weight
TLV,18.57
SNP,15.72
H2O,13.15
SNG,12.62
BRD,7.24
TGN,6.47
EL,5.48
DIGI,5.18
M,3.18
SNN,3.05
TEL,2.3
PE,1.47
FP,1.14
ONE,1.01
AQ,0.79
CFH,0.63
TTS,0.55
ATB,0.52
TRP,0.49
SFG,0.45
