symbol,weight
TLV,18.37
SNP,15.29
H2O,13.36
SNG,12.92
BRD,7.47
TGN,6.65
EL,5.18
DIGI,5.05
M,3.3
SNN,3.09
TEL,2.26
PE,1.49
FP,1.18
ONE,1.0
AQ,0.76
CFH,0.63
TTS,0.56
ATB,0.53
TRP,0.47
SFG,0.44
