symbol,weight
TLV,19.12
SNP,15.7
H2O,11.56
SNG,11.51
BRD,7.52
TGN,7.4
DIGI,4.91
EL,4.5
M,4.43
SNN,3.54
TEL,2.44
FP,1.34
PE,1.29
ONE,1.28
AQ,0.91
TRP,0.66
TTS,0.66
ATB,0.59
SFG,0.51
WINE,0.13
