symbol,weight
TLV,20.8
SNP,15.56
H2O,12.48
SNG,12.25
BRD,6.83
TGN,6.68
EL,4.75
DIGI,4.64
M,3.37
SNN,3.35
TEL,2.11
PE,1.6
FP,1.21
ONE,1.06
AQ,0.71
TTS,0.58
ATB,0.55
TRP,0.51
CFH,0.51
SFG,0.46
