symbol,weight
TLV,18.8
SNP,15.5
H2O,13.15
SNG,12.81
BRD,7.43
TGN,6.53
EL,5.14
DIGI,5.05
M,3.24
SNN,3.06
TEL,2.26
PE,1.47
FP,1.15
ONE,1.01
AQ,0.78
CFH,0.62
TTS,0.55
ATB,0.52
TRP,0.46
SFG,0.44
