symbol,weight
TLV,20.52
SNP,15.36
SNG,13.66
H2O,12.88
BRD,6.71
TGN,6.57
EL,4.13
DIGI,4.06
M,3.45
SNN,3.33
TEL,2.08
PE,1.65
FP,1.19
ONE,1.05
AQ,0.67
TTS,0.61
ATB,0.56
TRP,0.54
CFH,0.51
SFG,0.46
