symbol,weight
TLV,19.84
SNP,16.44
SNG,11.86
H2O,11.55
BRD,7.21
TGN,7.1
DIGI,4.9
EL,4.39
M,3.61
SNN,3.5
TEL,2.52
FP,1.33
PE,1.28
ONE,1.19
AQ,0.82
TRP,0.64
TTS,0.59
ATB,0.58
SFG,0.52
WINE,0.14
