symbol,weight
TLV,19.18
SNP,16.41
H2O,11.51
SNG,11.19
BRD,7.81
TGN,6.6
DIGI,5.1
M,4.46
EL,4.4
SNN,3.49
TEL,2.32
FP,1.47
ONE,1.29
PE,1.2
AQ,0.94
TRP,0.67
TTS,0.67
ATB,0.62
SFG,0.52
WINE,0.13
