symbol,weight
TLV,18.32
SNP,15.93
SNG,14.34
H2O,12.17
BRD,7.03
TGN,6.27
EL,5.67
DIGI,5.34
M,3.06
SNN,2.64
TEL,2.26
PE,1.52
FP,1.03
ONE,1.01
AQ,0.79
CFH,0.71
TTS,0.56
ATB,0.48
TRP,0.45
SFG,0.41
