symbol,weight
TLV,18.79
SNP,16.26
SNG,14.56
H2O,11.12
BRD,6.89
TGN,6.17
EL,5.72
DIGI,5.31
M,2.96
SNN,2.74
TEL,2.21
PE,1.58
FP,1.09
ONE,1.03
AQ,0.84
CFH,0.79
TTS,0.59
ATB,0.49
TRP,0.45
SFG,0.42
