symbol,weight
TLV,19.99
SNP,16.55
SNG,11.76
H2O,10.92
BRD,7.33
TGN,7.24
DIGI,4.98
EL,4.46
M,3.63
SNN,3.48
TEL,2.52
FP,1.32
PE,1.29
ONE,1.22
AQ,0.84
TRP,0.64
TTS,0.59
ATB,0.58
SFG,0.51
WINE,0.14
