symbol,weight
TLV,20.11
SNP,16.23
SNG,11.95
H2O,11.56
TGN,7.47
BRD,6.97
DIGI,4.86
EL,4.35
M,3.55
SNN,3.48
TEL,2.52
PE,1.3
FP,1.25
ONE,1.14
AQ,0.82
TRP,0.63
TTS,0.57
ATB,0.57
SFG,0.51
WINE,0.14
