symbol,weight
TLV,20.68
SNP,16.12
SNG,11.77
H2O,11.6
TGN,7.29
BRD,6.83
DIGI,4.93
EL,4.24
M,3.47
SNN,3.45
TEL,2.43
PE,1.33
FP,1.23
ONE,1.11
AQ,0.8
TRP,0.61
TTS,0.56
ATB,0.53
CFH,0.5
SFG,0.5
