symbol,weight
TLV,20.5
SNP,15.81
SNG,12.33
H2O,11.92
TGN,7.06
BRD,6.94
DIGI,4.42
EL,4.04
M,3.84
SNN,3.69
TEL,2.28
PE,1.49
FP,1.19
ONE,1.13
AQ,0.7
TRP,0.6
TTS,0.58
ATB,0.51
SFG,0.5
CFH,0.48
