symbol,weight
TLV,18.27
SNP,15.86
SNG,14.4
H2O,12.13
BRD,6.93
TGN,6.27
EL,5.79
DIGI,5.2
M,3.05
SNN,2.83
TEL,2.25
PE,1.53
FP,1.04
ONE,1.02
AQ,0.8
CFH,0.7
TTS,0.56
ATB,0.49
TRP,0.45
SFG,0.41
