symbol,weight
WINE,0.14
TTS,0.69
TRP,0.67
TLV,19.8
TGN,6.56
TEL,2.17
SNP,16.18
SNN,3.64
SNG,11.25
SFG,0.55
PE,1.2
ONE,1.34
M,4.56
H2O,11.3
FP,1.6
EL,4.63
DIGI,4.79
BRD,7.3
ATB,0.68
AQ,0.95
