symbol,weight
TLV,18.54
SNP,15.36
SNG,13.06
H2O,12.7
BRD,7.04
TGN,6.89
DIGI,5.21
EL,5.17
SNN,3.32
M,3.29
TEL,2.22
PE,1.57
FP,1.2
ONE,1.09
AQ,0.71
TTS,0.57
ATB,0.56
CFH,0.54
TRP,0.49
SFG,0.46
