symbol,weight
TLV,20.44
SNP,15.54
H2O,12.7
SNG,12.25
BRD,6.69
TGN,6.61
EL,4.92
DIGI,4.75
M,3.41
SNN,3.36
TEL,2.11
PE,1.59
FP,1.21
ONE,1.06
AQ,0.71
TTS,0.58
ATB,0.54
TRP,0.53
CFH,0.52
SFG,0.46
