symbol,weight
WINE,0.14
TTS,0.64
TRP,0.63
TLV,18.82
TGN,6.62
TEL,2.16
SNP,17.5
SNN,3.74
SNG,12.04
SFG,0.55
PE,1.16
ONE,1.36
M,4.18
H2O,10.9
FP,1.54
EL,4.68
DIGI,4.71
BRD,7.04
ATB,0.72
AQ,0.88
