symbol,weight
TLV,20.8
SNP,15.66
SNG,12.49
H2O,12.03
TGN,6.93
BRD,6.9
DIGI,4.29
EL,4.24
M,3.73
SNN,3.53
TEL,2.21
PE,1.59
FP,1.2
ONE,1.1
AQ,0.69
TTS,0.59
TRP,0.57
ATB,0.5
SFG,0.48
CFH,0.46
