symbol,weight
TLV,18.25
SNP,15.99
SNG,15.47
H2O,11.21
BRD,6.84
EL,6.4
TGN,5.61
DIGI,5.18
M,2.85
SNN,2.58
TEL,2.17
PE,1.62
FP,1.08
ONE,1.04
CFH,0.9
AQ,0.79
TTS,0.61
SFG,0.5
ATB,0.47
TRP,0.43
