symbol,weight
TLV,20.26
SNP,15.87
H2O,12.85
SNG,12.33
BRD,7.04
TGN,6.57
DIGI,4.56
EL,4.52
M,3.39
SNN,3.31
TEL,2.13
PE,1.59
FP,1.17
ONE,1.07
AQ,0.72
TTS,0.57
ATB,0.55
TRP,0.52
CFH,0.51
SFG,0.47
